"Model","AUC","Sensitivity","Case"
"glm",0.6335,0.3125,"Case1: All Vars, No Balance"
"knn",0.5386,0.25,"Case1: All Vars, No Balance"
"svmRadial",0.5909,0.3125,"Case1: All Vars, No Balance"
"rpart",0.6125,0.375,"Case1: All Vars, No Balance"
"rf",0.6127,0.4062,"Case1: All Vars, No Balance"
"gbm",0.6425,0.25,"Case1: All Vars, No Balance"
"naive_bayes",0.5421,0.3125,"Case1: All Vars, No Balance"
"glm",0.6316,0.5,"Case2: All Vars, Balanced"
"knn",0.5573,0.5312,"Case2: All Vars, Balanced"
"svmRadial",0.6009,0.375,"Case2: All Vars, Balanced"
"rpart",0.5881,0.3125,"Case2: All Vars, Balanced"
"rf",0.612,0.4062,"Case2: All Vars, Balanced"
"gbm",0.6259,0.4062,"Case2: All Vars, Balanced"
"glm",0.6461,0.2812,"Case3: Selected Vars, No Balance"
"knn",0.6054,0.3438,"Case3: Selected Vars, No Balance"
"svmRadial",0.6016,0.3125,"Case3: Selected Vars, No Balance"
"rpart",0.5881,0.3125,"Case3: Selected Vars, No Balance"
"rf",0.6274,0.3125,"Case3: Selected Vars, No Balance"
"gbm",0.6409,0.2812,"Case3: Selected Vars, No Balance"
